,sample_0_1,sample_0_2,sample_0_3,sample_1_1,sample_1_2,sample_1_3,sample_2_1,sample_2_2,sample_2_3,sample_3_1,sample_3_2,sample_3_3,sample_4_1,sample_4_2,sample_4_3
ALPL,25.69873710130357,28.438145852469134,26.63114983703236,31.95541974327032,31.005081492829394,32.08618792641317,36.01807274600538,36.99512474038851,37.560314077957756,42.09799350409946,41.72495905374446,44.00419616585092,46.94898179903081,47.00187502453367,46.90503194514157
BGLAP,35.7049005672753,35.51511788426059,36.53955490474515,47.08016620897249,46.475779710543556,47.25036598638062,55.24051892367982,54.23520332848582,51.620849169077694,59.78336223325013,61.38123019038523,61.67823906727552,68.55593536240343,69.24952974568582,74.31662975850396
COL1A1,101.6996507448516,90.96300308870306,96.04475999149541,123.5626518666786,118.2127278048981,116.03134910436468,140.66218051817015,137.8379968659947,135.74080479774645,154.85309793616736,163.65678530098407,159.15104480908852,180.59372287360299,180.01027835935125,176.76563643350713
COL1A2,73.59246233289919,76.1765691995271,73.47190815563992,91.20426717832011,93.68993820355153,89.71478708501665,104.22786971391488,100.87230569385723,104.213454098751,117.49053803074281,114.6766704188068,119.6098856282756,138.42129511704516,139.3618114326522,134.19077682678943
COL3A1,91.09518487670641,97.7197829224226,100.68141090832682,109.54404425284902,119.47519416764433,117.55386833104566,129.19810969194788,136.35002101719942,130.593474645195,152.74197929537232,152.09241674203773,153.48195013892396,175.2271035798808,180.98209469254985,181.0679486388908
COL5A1,48.8109061297996,47.7434378343801,51.65285268059674,53.73606570790299,56.89976035471855,59.93778743056308,65.62526408898722,65.7549258908694,63.126007878387654,78.26837323518959,76.4406070124981,79.1026792985953,89.62524096452891,83.37851212113817,85.38573957509051
COL5A2,77.89069938756276,73.72106103229888,72.15018682090668,96.97769933319903,91.04374585043097,85.01825053181561,107.08815082234516,108.87175917398517,105.18165358889064,121.73851891592828,126.60565722996847,125.03539067162014,132.37466642522068,143.81161613647555,132.61056657029394
COL6A1,55.40906120768663,54.133473190712444,52.89794834235728,65.30419276373479,60.26665292110712,67.0646537084775,73.86753321568898,74.56598054336703,71.59850815924024,86.91828407767981,90.67309462229257,90.29911307871855,96.69820969451511,96.67028071454754,99.9989558797518
COL6A2,25.397764339017606,23.921624206180024,27.255007157205224,30.842506042465853,32.085478707787026,31.342749608437696,33.81129083746273,34.38352904023323,38.279481960030736,39.497105517459524,40.86109952426388,41.989796597468526,47.439162428328295,46.36163057620479,47.36935319197896
COL6A3,43.05697220777133,45.3827557922718,43.210011840006715,49.17997904173744,49.05297661160459,51.794672034581275,56.184708174726936,62.049223358697326,59.661816469847295,67.93865606954384,69.46567105614456,70.36754808471228,76.74736055631563,75.71299281116052,70.27384831206727
ELN,56.721414683626286,53.043288968786285,55.8579893159607,67.52312603156702,67.22771263432062,65.83384705668644,78.80344933716374,76.80106756798553,78.48344427268388,88.35860963612865,92.81936052668487,90.02255708659186,102.68659028885918,99.06325156073436,103.15579034081775
FBLN4,104.24528108409638,107.41420650947511,104.3667484834774,126.93030063925565,126.8362140207759,131.14778761802677,149.3494527324129,141.9615534199047,144.20821632103815,177.4146848560074,164.80306922804914,175.51257161212774,187.718596455954,189.4683533543348,184.74542719847724
FBLN5,56.044404441754125,57.95791956783863,60.17015590940802,70.40791511119872,72.73963133572029,64.00177941582228,84.87796096066387,81.83020031434802,81.12023706506756,94.93099313600085,92.82775244688115,93.12046877802311,112.08732612186759,104.82981398638523,101.19249833499772
FBN1,30.849263090472505,34.92868076844228,32.20064308899011,37.7163813325489,39.7343772102065,38.43228003160303,42.70832514813876,48.52231791475282,49.03160469280515,52.03916192186281,54.14671624156839,52.6830115576572,58.91182620768653,57.09483197754944,57.5136467443132
LOX,33.80923326078919,34.2913215269342,32.11830374920214,41.9880629741917,42.40023715182789,42.3321710150818,46.3538247357055,46.65376375632302,43.464163023713354,53.87487825405335,55.13970106729337,52.70939549661513,62.32295003114784,61.878171597796566,62.38702749181438
LOXL1,99.65148978755178,97.36188536041051,100.70463755802815,113.28204322764203,115.09525691006638,113.28568286675241,134.8794672927932,138.68313904952515,135.46236507396418,164.89480430321606,153.53353681369023,162.51438508428922,179.93180535392818,182.74639384429955,179.59015228262552
LOXL2,82.2978755293727,89.74183383205906,87.25549541362913,94.64239387892583,101.23644579991868,100.47764891680445,121.18370635357044,108.43068281898846,123.38194583484308,131.1696875483408,128.59455674377554,133.99090455254284,150.9202269715468,155.72531363243056,151.70041321364877
